Sample,Condition,RollsImagined
abington,two6,10
abington,two6,36
abington,three6,5
abington,two6,4
abington,three6,12
abington,two6,5
abington,three6,10
abington,two6,10
abington,two6,3.00000000000001
abington,two6,5
abington,three6,5
abington,two6,3.00000000000001
abington,three6,36
abington,three6,36
abington,three6,10
abington,three6,10
abington,three6,3.00000000000001
abington,three6,6.00000000000001
abington,two6,1
abington,two6,2.00000000000001
abington,two6,4
abington,three6,1
abington,two6,4
abington,three6,5
abington,three6,10
abington,three6,100
abington,three6,5
abington,two6,12
abington,three6,215.000000000001
abington,three6,3.00000000000001
abington,two6,NA
abington,two6,3.00000000000001
abington,two6,6.00000000000001
abington,three6,18
abington,two6,7
abington,three6,1
abington,two6,NA
abington,two6,3.00000000000001
abington,two6,10
abington,three6,100
abington,three6,2.00000000000001
abington,three6,1
abington,two6,5
abington,two6,2.00000000000001
abington,three6,15
abington,two6,5
abington,two6,14
abington,three6,2.00000000000001
abington,three6,50.0000000000001
abington,three6,20
abington,two6,8
abington,two6,2.00000000000001
abington,two6,4
abington,three6,2.00000000000001
abington,two6,4
abington,three6,100
abington,two6,5
abington,three6,6.00000000000001
abington,two6,NA
abington,two6,3.00000000000001
abington,two6,2.00000000000001
abington,two6,7
abington,two6,0
abington,two6,6.00000000000001
abington,two6,5
abington,two6,2.00000000000001
abington,three6,2.00000000000001
abington,two6,5
abington,three6,7
abington,three6,NA
abington,three6,10
abington,three6,3.00000000000001
abington,two6,5
abington,three6,3.00000000000001
abington,two6,3.00000000000001
abington,three6,3.00000000000001
abington,three6,2.00000000000001
abington,three6,3.00000000000001
abington,two6,3.00000000000001
abington,three6,5
abington,three6,9
abington,two6,1
abington,three6,6.00000000000001
abington,two6,6.00000000000001
brasilia,two6,1
brasilia,two6,1
brasilia,three6,20
brasilia,two6,3.00000000000001
brasilia,three6,20
brasilia,two6,0
brasilia,two6,3.00000000000001
brasilia,two6,0
brasilia,two6,6.00000000000001
brasilia,two6,4
brasilia,three6,4
brasilia,two6,5
brasilia,three6,3.00000000000001
brasilia,two6,5
brasilia,two6,3.00000000000001
brasilia,three6,4
brasilia,two6,30
brasilia,three6,36
brasilia,two6,6.00000000000001
brasilia,two6,46
brasilia,three6,24
brasilia,three6,3.00000000000001
brasilia,two6,2.00000000000001
brasilia,three6,2.00000000000001
brasilia,two6,30
brasilia,two6,4
brasilia,two6,3.00000000000001
brasilia,three6,10
brasilia,two6,2.00000000000001
brasilia,three6,2.00000000000001
brasilia,three6,20
brasilia,three6,1
brasilia,two6,7
brasilia,three6,211.999999999999
brasilia,three6,8
brasilia,two6,NA
brasilia,three6,3.00000000000001
brasilia,three6,2.00000000000001
brasilia,two6,4
brasilia,three6,6.00000000000001
brasilia,three6,5
brasilia,three6,2.00000000000001
brasilia,two6,1
brasilia,two6,0
brasilia,two6,4
brasilia,three6,8
brasilia,two6,50.0000000000001
brasilia,two6,7
brasilia,three6,3.00000000000001
brasilia,three6,3.00000000000001
brasilia,three6,4
brasilia,two6,0
