Item,Translation,Language,Correct,Overlap
aai,Ei,Frisian,0,3.333333333
aarde,Erde,Dutch,1,6
anslutning,Anschluss,Swedish,0,3
antal,Anzahl,Danish,0,6.666666667
applåd,Applaus,Swedish,0,7.142857143
armoede,Armut,Dutch,0,4.285714286
balans,Balance,Swedish,1,7.142857143
bedrog,Betrug,Dutch,0,6.666666667
befolkning,Bevölkerung,Danish,1,6.363636364
behandeling,Behandlung,Frisian,1,8.181818182
besøg,Besuch,Danish,0,5
bibleteek,Bibliothek,Frisian,1,7
bidrag,Beitrag,Danish,1,7.142857143
bjerg,Berg,Danish,1,8
blad,Blatt,Swedish,1,6
blod,Blut,Swedish,1,8
boom,Baum,Dutch,1,5
brød,Brot,Danish,1,7.5
bröst,Brust,Swedish,1,8
budzjet,Budget,Frisian,1,7.142857143
butik,Boutique,Danish,1,5
chans,Chance,Swedish,1,6.666666667
coördinatie,Koordination,Dutch,0,8.333333333
cyckel,Fahrrad; Zyklus,Swedish,1,6.666666667
dag,Tag,Danish,1,6.666666667
detalje,Detail,Danish,1,5.714285714
doarp,Dorf,Frisian,0,6
dyk,Deich,Frisian,0,7.5
eftermiddag,Nachmittag,Swedish,1,3.636363636
eilân,Insel (island),Frisian,1,8.333333333
elev,Schüler,Swedish,1,8
enhed,Einheit,Danish,0,5.714285714
ervaring,Erfahrung,Dutch,1,6.666666667
farve,Farbe,Danish,1,8
feest,Fest,Frisian,1,8
ferdigening,Verteidigung,Frisian,0,4.166666667
ferplichting,Verpflichtung,Frisian,1,7.692307692
fertrouwe,Vertrauen,Frisian,1,5.555555556
ferwizing,Verweisung,Frisian,0,6
fjäder,Feder,Swedish,1,6.666666667
flaske,Flasche,Danish,1,7.142857143
förbättring,Verbesserung,Swedish,0,4.166666667
forbrænding,Verbrennung,Danish,0,5.833333333
forening,Verein(igung),Danish,0,5.454545455
förhandling,Verhandlung,Swedish,1,7.272727273
förmåga,Vermögen,Swedish,0,3.75
forsikring,Versicherung,Danish,0,5
frede,Frieden,Frisian,0,7.142857143
freondin,Freundin,Frisian,1,8.75
frihet,Freiheit,Swedish,1,7.5
frugt,Frucht,Danish,1,8
garaazje,Garage,Frisian,0,6.25
geest,Geist,Dutch,1,8
gemenskap,Gemeinschaft,Swedish,0,5.833333333
geslacht,Geschlecht,Frisian,0,7
gevaar,Gefahr,Dutch,0,6.666666667
gevoel,Gefühl,Dutch,1,5
gezondheid,Gesundheit,Dutch,1,7
gordijn,Gardine,Dutch,1,5.714285714
groep,Gruppe,Frisian,1,8
hår,Haar,Swedish,1,7.5
haven,Hafen,Frisian,1,8
hemel,Himmel,Dutch,0,6.666666667
hjælp,Hilfe,Danish,1,6.666666667
hond,Hund,Dutch,0,7.5
huid,Haut,Dutch,0,2.5
indsigt,Einsicht,Danish,1,5
intryck,Eindruck,Swedish,1,6.25
invånare,Einwohner,Swedish,0,3.333333333
kaas,Käse,Dutch,1,5
kennis,Kenntnis,Dutch,1,7.5
klas,Klasse,Frisian,1,6.666666667
klokke,Klingel; Glocke; Uhr,Danish,1,6.666666667
koar,Chor,Frisian,0,4
konkurrence,Konkurrenz,Danish,1,8.181818182
konst,Kunst,Swedish,1,8
krig,Krieg,Swedish,1,8
kursus,Kurs,Danish,1,6.666666667
kyst,Küste,Danish,0,6
lucht,Luft,Dutch,0,6
lyst,Lust,Danish,0,7.5
mængde,Menge,Danish,1,7.142857143
majoritet,Mehrheit (majorité),Danish,1,8.888888889
makt,Macht,Swedish,1,6
måned,Monat,Danish,0,4
marts,März,Danish,0,8
masine,Maschine,Frisian,1,7.5
materiaal,Material,Frisian,1,8.888888889
mening,Meinung; Bedeutung; Sinn,Danish,1,8.571428571
mond,Mund,Dutch,0,7.5
morgon,Morgen,Swedish,1,8.333333333
mur,Mauer,Swedish,1,10
nadeel,Nachteil,Dutch,0,5
namme,Name,Frisian,1,8
näsa,Nase,Swedish,1,7.5
nivå,Niveau,Swedish,1,6.666666667
oanfiering,Anführung,Frisian,1,6
öga,Auge,Swedish,0,2.5
ögonblick,Augenblick,Swedish,1,7
omgivning,Umgebung,Swedish,1,4.444444444
oorzaak,Ursache,Dutch,0,1.428571429
oplossing,Auflösung,Frisian,0,4.444444444
opmærksomhed,Aufmerksamkeit,Danish,0,4.285714286
ordning,Ordnung,Swedish,1,8.571428571
