CS,Name,Potential
with,Luca,6
with,Luca,5
with,Luca,5
with,Luca,5
with,Dragan,5
with,Dragan,5
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Luca,4
with,Dragan,4
with,Dragan,4
with,Dragan,4
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Luca,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Dragan,3
with,Luca,2
with,Luca,2
with,Luca,2
with,Luca,2
with,Luca,2
with,Luca,2
with,Luca,2
with,Luca,2
with,Dragan,2
with,Dragan,2
with,Dragan,2
with,Dragan,2
with,Dragan,2
with,Dragan,2
with,Dragan,1
without,Luca,5
without,Dragan,5
without,Dragan,5
without,Dragan,5
without,Dragan,5
without,Luca,4
without,Luca,4
without,Luca,4
without,Luca,4
without,Luca,4
without,Luca,4
without,Luca,4
without,Luca,4
without,Luca,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Dragan,4
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Luca,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Dragan,3
without,Luca,2
without,Luca,2
without,Luca,2
without,Luca,2
without,Luca,2
without,Luca,2
without,Dragan,2
without,Dragan,2
without,Luca,1
