Subject,LearningCondition,Order,Block,Trial,Item,Translation,Correct,CorrectVowel,CorrectLiberal,Note,WSTRight,WSTWrong,EnglishHits,EnglishCR,EnglishScore,FrenchHits,FrenchCR,FrenchScore,NrLangs,Sex,Age,StudyProgramme,LanguageExpert,NativeLanguage,OtherLanguages,SwissGerman,ModelTranslation,SUBTLEX,Zipf,Category,LevStringGer,POS,LevDist
S10,oe-u,TestOrderB,1,1,wapen,waffen,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Waffen,127.05,5.1008640623,other cognate,waffen,N,0.2857142857
S10,oe-u,TestOrderB,1,2,willen,wollen,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,wollen,887.87,5.9451234702,other cognate,wollen,V,0.1428571429
S10,oe-u,TestOrderB,1,3,moenter,munter,yes,yes,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,munter,5.79,3.762376562,oe cognate,munter,A,0.25
S10,oe-u,TestOrderB,1,4,blij,,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,froh,117.8,5.0680452478,non-cognate,froh,A,0.8
S10,oe-u,TestOrderB,1,5,strijd,streit,yes,yes,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Streit,33.82,4.5264337225,ij cognate,streit,N,0.375
S10,oe-u,TestOrderB,1,6,openen,öffnen,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,öffnen,71.38,4.8505708543,other cognate,offnen,V,0.2857142857
S10,oe-u,TestOrderB,1,7,compleet,komplett,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,komplett,32.32,4.506754908,other cognate,komplett,A,0.2222222222
S10,oe-u,TestOrderB,1,8,gezoend,,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,gesund,48.94,4.6867680382,oe cognate,gesund,A,0.375
S10,oe-u,TestOrderB,1,9,duf,doof,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,muffig,0.28,2.501050957,non-cognate,muffig,A,0.5714285714
S10,oe-u,TestOrderB,1,10,abdij,,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Abtei,1.02,3.0218031059,ij cognate,abtei,N,0.5
S10,oe-u,TestOrderB,1,11,hoesten,husten,yes,yes,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,husten,7.05,3.847362564,oe cognate,husten,V,0.25
S10,oe-u,TestOrderB,1,12,overdreven,überdrehen,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,übertrieben,14.84,4.1693394168,other cognate,ubertrieben,A,0.4545454545
S10,oe-u,TestOrderB,1,13,gebied,gebiet,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Gebiet,33.62,4.5238608325,other cognate,gebiet,N,0.1428571429
S10,oe-u,TestOrderB,1,14,slank,schlank,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,schlank,4.61,3.6641490773,other cognate,schlank,A,0.2857142857
S10,oe-u,TestOrderB,1,15,zeggen,zeigen,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,sagen,1458.48,6.160667032,other cognate,sagen,V,0.4285714286
S10,oe-u,TestOrderB,1,16,zinken,,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,sinken,6.58,3.8175715846,other cognate,sinken,V,0.1428571429
S10,oe-u,TestOrderB,1,17,nat,,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,nass,19.45,4.2865526639,other cognate,nass,A,0.4
S10,oe-u,TestOrderB,1,18,pakken,packen,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,packen,28.58,4.4534149222,other cognate,packen,V,0.1428571429
S10,oe-u,TestOrderB,1,19,afstand,abstand,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Abstand,12.09,4.0805931274,other cognate,abstand,N,0.125
S10,oe-u,TestOrderB,1,20,poetsen,putzen,yes,yes,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,putzen,12.24,4.0859309683,oe cognate,putzen,V,0.375
S10,oe-u,TestOrderB,1,21,laatst,letzte,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,letzt,2.36,3.3768523221,other cognate,letzt,A,0.4285714286
S10,oe-u,TestOrderB,1,22,zwijn,,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Schwein,62.09,4.7900517905,ij cognate,schwein,N,0.5555555556
S10,oe-u,TestOrderB,1,23,kiezen,kissen,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,wählen,32.84,4.5136783373,non-cognate,wahlen,V,0.5714285714
S10,oe-u,TestOrderB,1,24,leuk,,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,toll,298.95,5.4724105806,non-cognate,toll,A,0.8
S10,oe-u,TestOrderB,1,25,stad,,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Stadt,303.52,5.4789984753,other cognate,stadt,N,0.1666666667
S10,oe-u,TestOrderB,1,26,hijt,hitze,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,heiss,87.09,4.9369194116,ij cognate,heiss,A,0.5
S10,oe-u,TestOrderB,1,27,veranderen,verändern,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,verändern,31.46,4.4950567186,other cognate,verandern,V,0.0909090909
S10,oe-u,TestOrderB,1,28,zegen,zeigen,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Segen,13.07,4.1143367005,other cognate,segen,N,0.1666666667
S10,oe-u,TestOrderB,1,29,donderdag,donerstag,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Donnerstag,19.76,4.2934062344,other cognate,donnerstag,N,0.3
S10,oe-u,TestOrderB,1,30,bijten,,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,beissen,14.02,4.1447207364,ij cognate,beissen,V,0.375
S10,oe-u,TestOrderB,1,31,glad,froh,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,glatt,12.91,4.10900352,other cognate,glatt,A,0.3333333333
S10,oe-u,TestOrderB,1,32,plant,pflanze,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Pflanze,10.59,4.0232624155,other cognate,pflanze,N,0.4285714286
S10,oe-u,TestOrderB,1,33,sterven,sterben,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,sterben,323.75,5.5070174191,other cognate,sterben,V,0.125
S10,oe-u,TestOrderB,1,34,grap,,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Witz,83.19,4.9170314454,non-cognate,witz,N,0.8
S10,oe-u,TestOrderB,1,35,verliezen,verlassen,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,verlieren,130.28,5.1117638071,other cognate,verlieren,V,0.1
S10,oe-u,TestOrderB,1,36,tijd,,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Zeit,1071.18,6.026633248,ij cognate,zeit,N,0.6666666667
S10,oe-u,TestOrderB,1,37,liever,lieber,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,lieber,289.18,5.4579822084,other cognate,lieber,A,0.1428571429
S10,oe-u,TestOrderB,1,38,dwingen,zwingen,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,zwingen,21.26,4.3251216184,other cognate,zwingen,V,0.125
S10,oe-u,TestOrderB,1,39,broek,,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Hose,40.4,4.6035592274,non-cognate,hose,N,0.6666666667
S10,oe-u,TestOrderB,1,40,geluk,,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Glück,277.73,5.4404391865,other cognate,gluck,N,0.2857142857
S10,oe-u,TestOrderB,1,41,overigens,übrigens,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,übrigens,68.98,4.8357258305,other cognate,ubrigens,A,0.3
S10,oe-u,TestOrderB,1,42,groep,gruppe,yes,yes,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Gruppe,52.48,4.7170743504,oe cognate,gruppe,N,0.5
S10,oe-u,TestOrderB,1,43,kroon,krone,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Krone,9.06,3.9557662256,other cognate,krone,N,0.3333333333
S10,oe-u,TestOrderB,1,44,geweld,gewalt,yes,NA,yes,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Gewalt,41.46,4.6147963496,other cognate,gewalt,N,0.2857142857
S10,oe-u,TestOrderB,1,45,zitten,,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,sitzen,114.3,5.0549506309,other cognate,sitzen,V,0.2857142857
S10,oe-u,TestOrderB,1,46,schoen,schön,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Schuh,14.45,4.1578043773,oe cognate,schuh,N,0.4285714286
S10,oe-u,TestOrderB,1,47,prins,,no,NA,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Prinz,30.99,4.4885278091,other cognate,prinz,N,0.1666666667
S10,oe-u,TestOrderB,1,48,ijzer,,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Eisen,8.9,3.9480618152,ij cognate,eisen,N,0.6666666667
S10,oe-u,TestOrderB,1,49,stoel,stahl,no,no,no,,31,0,7,20,0.5875,9,26,0.5446428571,3,woman,23,Heilpädagogik,no,Schweizerdeutsch (Dialekt),"Französisch, Englisch, Italienisch",yes,Stuhl,30.67,4.4840257583,oe cognate,stuhl,N,0.3333333333
