Participant,AOA,GJT
P01,59,151
P02,9,182
P03,51,127
P04,58,113
P05,27,157
P06,11,188
P07,17,125
P08,57,138
P09,10,171
P10,14,168
P11,20,174
P12,34,149
P13,19,155
P14,54,149
P15,63,107
P16,71,104
P17,24,176
P18,16,143
P19,22,133
P20,48,113
P21,17,171
P22,20,144
P23,44,151
P24,24,182
P25,56,113
P26,5,197
P27,71,114
P28,36,170
P29,57,115
P30,45,115
P31,56,118
P32,44,118
P33,23,155
P34,18,186
P35,42,132
P36,54,116
P37,14,169
P38,47,131
P39,8,196
P40,24,122
P41,52,148
P42,27,188
P43,11,198
P44,18,174
P45,48,150
P46,31,158
P47,49,131
P48,48,131
P49,15,180
P50,49,113
P51,23,167
P52,10,193
P53,20,164
P54,24,183
P55,35,118
P56,36,136
P57,44,115
P58,49,141
P59,15,181
P60,12,193
P61,53,140
P62,16,153
P63,54,110
P64,9,163
P65,25,174
P66,27,169
P67,18,179
P68,26,143
P69,22,162
P70,50,128
P71,42,119
P72,5,197
P73,14,168
P74,39,132
P75,56,140
P76,12,182
