Subject,Class,LanguageGroup,HLC,NumberOfLanguages,Language1,Language2,LanguageOther1,LanguageOther2
A_PLF_1,A,Bilingual group French,yes,2,P,F,NA,NA
A_PLF_10,A,Bilingual group French,yes,2,P,F,NA,NA
A_PLF_12,A,Bilingual group French,yes,2,P,F,NA,NA
A_PLF_13,A,Bilingual group French,yes,2,P,F,NA,NA
A_PLF_14,A,Bilingual group French,yes,2,P,F,NA,NA
A_PLF_15,A,Bilingual group French,yes,NA,NA,NA,NA,NA
A_PLF_16,A,Bilingual group French,yes,2,P,F,NA,NA
A_PLF_17,A,Bilingual group French,yes,NA,NA,NA,NA,NA
A_PLF_19,A,Bilingual group French,yes,3,P,F,D,NA
A_PLF_2,A,Bilingual group French,yes,2,P,F,NA,NA
A_PLF_3,A,Bilingual group French,yes,2,P,F,NA,NA
A_PLF_4,A,Bilingual group French,yes,3,P,F,E,D
A_PLF_5,A,Bilingual group French,yes,2,P,F,D,NA
A_PLF_6,A,Bilingual group French,yes,NA,NA,NA,NA,NA
A_PLF_7,A,Bilingual group French,yes,2,P,F,NA,NA
A_PLF_8,A,Bilingual group French,yes,2,P,F,E,NA
A_PLF_9,A,Bilingual group French,yes,2,P,F,NA,NA
AA_PLF_1,AA,Bilingual group French,yes,NA,NA,NA,NA,NA
AA_PLF_10,AA,Bilingual group French,yes,2,P,F,NA,NA
AA_PLF_11,AA,Bilingual group French,yes,NA,NA,NA,NA,NA
AA_PLF_12,AA,Bilingual group French,yes,2,P,F,NA,NA
AA_PLF_13,AA,Bilingual group French,yes,2,P,F,NA,NA
AA_PLF_2,AA,Bilingual group French,yes,2,F,P,NA,NA
AA_PLF_3,AA,Bilingual group French,yes,2,P,F,NA,NA
AA_PLF_4,AA,Bilingual group French,yes,NA,NA,NA,NA,NA
AA_PLF_5,AA,Bilingual group French,yes,2,P,F,NA,NA
AA_PLF_6,AA,Bilingual group French,yes,2,P,F,NA,NA
AA_PLF_7,AA,Bilingual group French,yes,2,P,F,NA,NA
AA_PLF_8,AA,Bilingual group French,yes,2,P,F,NA,NA
AA_PLF_9,AA,Bilingual group French,yes,2,P,F,NA,NA
AB_PLD_1,AB,Bilingual group German,yes,NA,NA,NA,NA,NA
AB_PLD_2,AB,Bilingual group German,yes,2,P,D,NA,NA
AB_PLD_3,AB,Bilingual group German,yes,3,P,CH-D,Es,NA
AB_PLD_4,AB,Bilingual group German,yes,2,P,D,Es,NA
AB_PLD_5,AB,Bilingual group German,yes,2,P,D,NA,NA
AB_PLD_6,AB,Bilingual group German,yes,2,P,D,NA,NA
AB_PLD_7,AB,Bilingual group German,yes,2,P,D,NA,NA
AB_PLD_8,AB,Bilingual group German,yes,2,P,D,NA,NA
AC_PLD_1,AC,Bilingual group German,yes,2,P,CH-D,NA,NA
AC_PLD_2,AC,Bilingual group German,yes,2,P,D,NA,NA
AC_PLD_3,AC,Bilingual group German,yes,2,P,D,NA,NA
AC_PLD_4,AC,Bilingual group German,yes,2,P,CH-D,NA,NA
AC_PLD_5,AC,Bilingual group German,yes,2,P,D,NA,NA
AC_PLD_6,AC,Bilingual group German,yes,NA,NA,NA,NA,NA
AC_PLD_7,AC,Bilingual group German,yes,2,P,D,NA,NA
AC_PLD_8,AC,Bilingual group German,yes,2,P,D,NA,NA
AD_PLF_1,AD,Bilingual group French,yes,NA,NA,NA,NA,NA
AD_PLF_10,AD,Bilingual group French,yes,2,P,F,NA,NA
AD_PLF_11,AD,Bilingual group French,yes,2,P,F,NA,NA
AD_PLF_12,AD,Bilingual group French,yes,2,F,P,NA,NA
