ID,Class,Group,Gender,Grade,lang_n,lang_eng,lang_groups,attitudeschool,attitudeenglish,attitudeclass,attitudelearning,attitude,words,nonwords,wnw_istd,tasks_n,fun,necessary,new,helpful,evaluation,T1total_p,T1cog_p,T1total_r,T1cog_r,T1cogtsz,T1cogpf,T1cogdth,T1cogck,T1cogkch,T1noncog,T1total,T1cog,T2total_p,T2cog_p,T2total_r,T2cog_r,T2cogtsz,T2cogpf,T2cogdth,T2cogck,T2cogkch,T2noncog,T2total,T2cog,T3total_r,T3cog_r,T3total_p,T3cog_p,T3cogtsz,T3cogpf,T3cogdth,T3cogck,T3cogkch,T3noncog,T3total,T3cog
A01,c10,control,female,5th grade,2,1,german_plus,2,3,0,3,2,30,18,0.66,,,,,,,9,8,10,8,4,3,4,4,1,3,19,16,11,9,14,11,4,3,6,5,2,5,25,20,9,8,11,8,5,2,5,2,2,4,20,16
A02,c10,control,female,5th grade,1,0,german_only,2,3,2,2,2.33,23,19,0.58,,,,,,,7,6,5,4,1,1,3,4,1,2,12,10,6,6,6,6,3,2,2,3,2,0,12,12,4,3,5,4,2,1,1,1,2,2,9,7
A03,c10,control,female,5th grade,1,0,german_only,2,2,2,2,2,24,11,0.15,,,,,,,4,4,1,1,1,1,1,1,1,0,5,5,2,2,4,4,3,1,1,1,0,0,6,6,4,4,1,1,2,0,1,1,1,0,5,5
A04,c10,control,male,5th grade,1,0,german_only,1,2,3,3,2.67,19,19,0.5,,,,,,,7,4,9,7,3,4,1,2,1,5,16,11,3,3,7,6,2,2,2,2,1,1,10,9,11,9,0,0,3,1,2,2,1,2,11,9
A05,c10,control,female,5th grade,1,0,german_only,2,3,2,3,2.67,24,15,0.36,,,,,,,7,6,6,5,3,2,2,3,1,2,13,11,6,6,5,5,3,3,1,3,1,0,11,11,5,3,4,3,1,1,2,1,1,3,9,6
A06,c10,control,male,5th grade,1,0,german_only,3,2,2,3,2.33,26,18,0.57,,,,,,,5,5,8,8,3,3,3,3,1,0,13,13,9,8,11,10,4,3,5,4,2,2,20,18,9,7,9,8,4,2,2,5,2,3,18,15
A07,c10,control,male,5th grade,2,0,german_plus,0,1,1,3,1.67,18,17,0.34,,,,,,,7,7,8,7,3,2,4,4,1,1,15,14,7,6,9,9,3,2,5,3,2,1,16,15,6,5,6,6,2,1,4,3,1,1,12,11
A08,c10,control,male,5th grade,1,0,german_only,1,3,2,2,2.33,27,12,0.28,,,,,,,3,2,4,3,1,2,1,1,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A09,c10,control,male,5th grade,1,0,german_only,1,2,2,2,2,22,14,0.25,,,,,,,8,7,8,7,2,4,4,3,1,2,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B01,c9,control,male,6th grade,2,0,no_german,2,3,2,2,2.33,38,9,0.49,,,,,,,6,5,8,6,1,3,4,2,1,3,14,11,5,5,13,11,5,4,2,4,1,2,18,16,8,6,7,6,1,3,2,4,2,3,15,12
B02,c9,control,male,6th grade,1,0,german_only,2,2,2,2,2,29,17,0.58,,,,,,,10,9,11,9,3,3,6,4,2,3,21,18,10,9,14,11,6,4,3,5,2,4,24,20,13,12,12,10,5,4,6,5,2,3,25,22
B03,c9,control,male,6th grade,1,0,german_only,1,2,1,1,1.33,24,10,0.1,,,,,,,2,1,4,4,0,1,1,2,1,1,6,5,2,2,4,4,1,1,2,2,0,0,6,6,4,3,4,3,2,1,2,1,0,2,8,6
B04,c9,control,male,6th grade,3,1,german_plus,1,3,2,3,2.67,33,12,0.44,,,,,,,7,7,8,7,3,3,3,3,2,1,15,14,12,10,15,12,5,4,6,5,2,5,27,22,8,7,5,4,3,2,3,1,2,2,13,11
B05,c9,control,male,6th grade,1,0,german_only,2,1,2,2,1.67,38,1,0,,,,,,,2,2,3,3,1,2,0,1,1,0,5,5,7,6,2,1,1,2,2,1,1,2,9,7,5,3,4,4,2,2,1,1,1,2,9,7
B06,c9,control,male,6th grade,2,0,german_plus,2,2,2,2,2,32,11,0.37,,,,,,,10,9,10,9,4,4,4,4,2,2,20,18,9,8,11,10,3,4,6,3,2,2,20,18,8,8,14,11,4,2,7,5,1,3,22,19
B07,c9,control,female,6th grade,2,0,german_plus,2,3,1,2,2,34,11,0.43,,,,,,,10,8,10,8,3,3,5,3,2,4,20,16,10,9,12,10,4,4,6,3,2,3,22,19,11,9,11,9,5,3,5,5,0,4,22,18
