Subject,Age,NrLang,DS.Span,WST.Right,Raven.Right,English.Overall
1034,51,3,5,32,23,-1.7655088936
1076,14,3,6,30,32,-0.8984315973
1232,24,4,4,32,8,0.9352222905
1264,12,1,4,17,19,-2.8800037245
1312,77,2,4,32,2,-3.3135423727
134,33,3,4,32,24,-0.4751090192
1350,43,4,7,38,31,1.6645974176
1401,59,4,6,38,21,1.9502178263
1404,23,3,4,29,27,0.1267800087
1570,29,4,4,36,19,-9999
1644,45,3,4,34,19,0.6393858116
1668,37,3,4,35,21,1.6543813475
1830,15,3,4,18,5,-1.0463498367
1897,33,5,3,31,16,0.2058471635
1936,60,4,5,36,24,2.2460543052
1967,72,1,4,0,3,-3.0279219639
1976,11,1,3,15,18,-3.451244542
2151,26,4,8,32,28,0.9250062204
2196,67,4,4,35,22,1.2999098541
2271,26,4,6,35,28,2.6107418687
2285,51,2,5,34,32,1.2208426993
2290,58,2,4,36,0,0.6496018818
230,84,4,5,37,20,0.4914675722
2384,27,2,5,36,22,1.2999098541
2493,16,2,3,22,18,-0.2379075549
2654,41,2,5,33,15,-0.8193644425
2795,70,2,5,37,7,-3.6093788516
2846,11,3,4,4,15,-3.8261481756
288,28,4,6,35,24,1.7436645724
2909,58,2,6,34,9,-2.3469657813
3071,48,3,6,26,24,0.1165639385
3121,15,2,4,20,22,0.9352222905
3125,12,1,3,20,15,-2.4362490062
3172,16,2,6,23,17,-1.7655088936
3204,15,2,7,25,23,-0.0899893154
326,32,3,4,35,19,0.6393858116
3270,36,5,6,36,17,2.3939725447
3357,44,3,4,34,18,0.5603186569
3434,37,3,3,37,17,1.7436645724
3454,10,2,4,23,9,-3.2242591478
3494,46,4,4,32,22,0.1854150232
3558,10,2,3,4,14,-3.451244542
3566,29,3,7,34,19,1.7436645724
3691,59,3,5,35,18,1.7334485022
3704,72,4,4,35,26,2.0292849811
3836,66,4,6,35,20,0.1956310933
3843,70,4,4,34,17,-2.9590708793
3859,24,5,8,35,21,2.7586601082
3914,11,3,4,12,11,-4.6830094019
4137,60,4,4,34,7,0.7873040511
4155,33,4,4,35,27,2.4628236293
4181,74,4,4,36,0,1.2896937839
4274,70,3,6,38,18,0.7286690366
4369,41,4,6,34,29,0.7873040511
4420,47,2,4,29,7,-0.0211382308
4432,16,3,4,29,18,0.7082368963
447,53,3,5,34,16,0.2058471635
4566,11,3,4,17,15,-3.3033263025
4650,48,4,5,41,21,2.1772032206
4675,71,2,5,33,3,-1.8547921185
