Subject,Sex,CorrectWritten,CorrectSpoken,FirstBlock
64,female,25,23,Spoken
230,male,26,12,Spoken
527,male,15,9,Spoken
550,female,24,22,Spoken
552,female,18,17,Spoken
675,male,22,20,Spoken
717,female,18,18,Spoken
1034,female,20,19,Spoken
1232,male,16,20,Spoken
1312,male,16,2,Spoken
1644,female,24,21,Spoken
1668,female,30,21,Spoken
1936,male,23,22,Spoken
2196,female,21,10,Spoken
2271,female,24,20,Spoken
2285,male,27,26,Spoken
2384,female,19,17,Spoken
2654,female,10,18,Spoken
2795,female,16,4,Spoken
3071,female,18,18,Spoken
3121,female,11,11,Spoken
3204,female,15,17,Spoken
3270,female,17,15,Spoken
3494,female,24,20,Spoken
3691,female,22,21,Spoken
3704,male,29,20,Spoken
3843,male,19,20,Spoken
3859,female,29,24,Spoken
3914,female,8,12,Spoken
4137,female,27,19,Spoken
4155,female,23,22,Spoken
4181,female,15,16,Spoken
4369,female,28,22,Spoken
4432,female,20,16,Spoken
4566,female,13,13,Spoken
4650,female,30,17,Spoken
4675,male,13,10,Spoken
4854,male,24,8,Spoken
4932,female,21,19,Spoken
5153,female,28,25,Spoken
5362,male,26,19,Spoken
5491,female,33,24,Spoken
5584,female,24,22,Spoken
5621,female,26,19,Spoken
5755,male,19,20,Spoken
5901,male,22,21,Spoken
5997,female,29,16,Spoken
6150,male,22,19,Spoken
6215,male,29,15,Spoken
6329,female,26,23,Spoken
6510,female,20,19,Spoken
6532,male,26,9,Spoken
6537,female,30,23,Spoken
6544,female,20,19,Spoken
6552,female,23,14,Spoken
6599,female,6,12,Spoken
6618,male,13,19,Spoken
6800,female,16,20,Spoken
6843,male,16,13,Spoken
7098,female,23,19,Spoken
7164,male,4,13,Spoken
7269,male,22,15,Spoken
7330,female,30,18,Spoken
7744,male,3,7,Spoken
7794,male,24,12,Spoken
7859,female,16,15,Spoken
8094,male,22,21,Spoken
8477,female,16,17,Spoken
8509,male,19,17,Spoken
8578,male,8,12,Spoken
8667,female,28,21,Spoken
8674,female,17,19,Spoken
8707,female,26,18,Spoken
8760,male,20,6,Spoken
8763,female,5,15,Spoken
8805,male,14,21,Spoken
8927,male,23,15,Spoken
8968,male,16,17,Spoken
9093,female,14,18,Spoken
9219,male,11,13,Spoken
9318,male,19,15,Spoken
9555,male,7,16,Spoken
9802,female,19,19,Spoken
78,female,20,19,Written
134,male,12,24,Written
288,male,9,12,Written
326,female,24,20,Written
447,female,25,22,Written
545,female,14,19,Written
776,female,10,13,Written
1076,male,15,20,Written
1264,male,6,9,Written
1350,male,26,18,Written
1401,male,22,20,Written
1404,female,19,20,Written
1570,male,17,23,Written
1830,male,6,13,Written
1897,male,23,17,Written
1967,male,14,15,Written
1976,male,13,11,Written
2151,female,15,13,Written
2290,male,21,7,Written
2493,male,17,16,Written
2846,female,3,6,Written
2909,male,10,6,Written
3125,male,9,8,Written
3172,male,12,14,Written
3357,female,6,13,Written
3434,female,26,17,Written
3454,male,11,15,Written
3558,male,3,9,Written
3566,female,24,18,Written
3836,female,14,18,Written
4274,male,27,16,Written
4420,female,7,12,Written
5180,male,24,14,Written
5277,male,15,16,Written
5290,female,5,5,Written
5449,female,24,23,Written
5566,female,28,22,Written
5731,female,24,21,Written
5885,male,20,20,Written
5916,female,16,16,Written
6039,female,18,18,Written
6131,female,18,26,Written
6164,male,8,10,Written
6178,female,14,19,Written
6264,female,20,17,Written
6448,female,4,5,Written
6516,male,10,14,Written
6760,male,23,27,Written
6780,male,32,20,Written
6832,female,26,21,Written
7165,male,21,19,Written
7215,male,19,5,Written
7337,female,16,21,Written
7479,male,18,16,Written
7540,female,14,23,Written
7569,male,12,6,Written
7601,female,22,17,Written
7616,female,6,2,Written
7886,female,2,8,Written
7921,female,21,22,Written
8373,female,31,27,Written
8385,female,16,14,Written
8443,female,25,18,Written
8531,female,26,23,Written
8699,female,25,13,Written
8706,male,16,6,Written
8788,male,7,27,Written
8798,male,15,16,Written
8942,male,33,21,Written
9022,female,17,14,Written
9193,female,20,17,Written
9275,male,24,11,Written
9442,female,16,17,Written
9490,female,26,25,Written
9509,male,19,17,Written
9513,male,5,7,Written
9781,male,33,22,Written
9861,male,18,22,Written
9912,male,8,13,Written
9913,female,11,16,Written
